protocol_version,activity,armor_material,attribute,attributes,banner_pattern,biome,biome_source,biome_source_type,block_entity_type,block,block_placer_types,block_predicate_type,block_predicate_types,block_states,block_type,blockstate_provider_type,blockstate_provider_types,carver,cat_variant,chat_type,chunk_generator,chunk_generator_type,chunk_status,command_argument_type,condition,consume_effect_type,creative_mode_tab,custom_stat,data_component_type,decorated_pot_pattern,decorated_pot_patterns,decorator,density_function_type,density_function_types,dimension_type,enchantment_effect_component_type,enchantment_entity_effect_type,enchantment_level_based_value_type,enchantment_location_based_effect_type,enchantment,enchantment_provider_type,enchantment_value_effect_type,entity_event,entity_sub_predicate_type,entity_sync_data,entity_type,feature,feature_size_type,feature_size_types,float_provider_type,float_provider_types,fluid,foliage_placer_type,foliage_placer_types,frog_variant,game_event,height_provider_type,height_provider_types,instrument,int_provider_type,int_provider_types,item,item_sub_predicate_type,level_event,loot_condition_type,loot_function_type,loot_nbt_provider_type,loot_number_provider_type,loot_pool_entry_type,loot_score_provider_type,map_decoration_type,material_condition,material_rule,memory_module_type,menu,mob_effect,motive,number_format_type,painting_variant,particle_type,placement_modifier_type,placement_modifiers,point_of_interest_type,pool_alias_binding_type,pos_rule_test,pose,position_source_type,potion,protocol,recipe_serializer,recipe_type,registry,root_placer_type,root_placer_types,rule_block_entity_modifier,rule,rule_test,schedule,sensor_type,sound_event,stat_type,structure_feature,structure_piece,structure_placement,structure_placement_type,structure_pool_element,structure_processor,structure_type,structure_types,sync_entity_data_type,tree_decorator_type,tree_decorator_types,trigger_types,trunk_placer_type,trunk_placer_types,villager_profession,villager_type,recipe_display,slot_display
1073741862,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741854,558,-1,-1,1073741854,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741854,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741852,498,718,740,-1,-1,712,1073741852,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741861,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741854,558,-1,-1,1073741854,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741854,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741852,498,718,740,-1,-1,712,1073741852,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741860,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741854,558,-1,-1,1073741854,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741854,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741852,498,718,740,-1,-1,712,1073741852,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
755,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741854,558,-1,-1,1073741854,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741854,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741852,498,718,740,-1,-1,712,1073741852,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741859,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741854,558,-1,-1,1073741854,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741854,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741852,498,718,740,-1,-1,712,1073741852,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741858,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741854,558,-1,-1,1073741854,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741854,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741852,498,718,740,-1,-1,712,1073741852,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741857,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741854,558,-1,-1,1073741854,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741854,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741852,498,718,740,-1,-1,712,1073741852,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741856,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741854,558,-1,-1,1073741854,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741854,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741852,498,718,740,-1,-1,712,1073741852,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741855,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741854,558,-1,-1,1073741854,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741854,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741852,498,718,740,-1,-1,712,1073741852,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741854,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741854,558,-1,-1,1073741854,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741854,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741852,498,718,740,-1,-1,712,1073741852,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741853,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741853,558,-1,-1,1073741853,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741853,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741852,498,718,740,-1,-1,712,1073741852,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741852,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741846,558,-1,-1,1073741849,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741851,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741852,498,718,740,-1,-1,712,1073741852,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741851,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741846,558,-1,-1,1073741849,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741851,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741851,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741846,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741850,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741846,558,-1,-1,1073741849,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741850,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741850,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741842,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741846,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741849,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741846,558,-1,-1,1073741849,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741846,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741846,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741842,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741846,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741847,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741846,558,-1,-1,1073741847,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,1073741847,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741846,-1,1073741846,1073741846,1073741847,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741846,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741842,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741846,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741846,1073741846,-1,725,-1,-1,-1,718,-1,1073741832,1073741846,558,-1,-1,1073741846,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,1073741846,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,1073741846,-1,1073741846,1073741846,1073741842,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741846,-1,-1,1073741846,1073741846,-1,1073741846,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741846,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741842,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741846,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741845,1073741844,-1,725,-1,-1,-1,718,-1,1073741832,1073741845,558,-1,-1,1073741845,-1,-1,1073741842,1073741845,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,1073741843,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741844,1073741844,1073741842,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741844,-1,-1,1073741844,1073741845,-1,1073741843,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741844,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741842,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741844,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741844,1073741844,-1,725,-1,-1,-1,718,-1,1073741832,1073741844,558,-1,-1,1073741844,-1,-1,1073741842,1073741838,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,1073741843,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741844,1073741844,1073741842,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,1073741844,-1,-1,1073741844,1073741844,-1,1073741843,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741844,705,498,498,-1,-1,1073741844,-1,-1,1073741829,-1,708,1073741844,1073741832,498,1073741842,721,721,-1,-1,-1,-1,-1,498,498,1073741844,1073741844,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741843,1073741833,-1,725,-1,-1,-1,718,-1,1073741832,1073741843,558,-1,-1,1073741843,-1,-1,1073741842,1073741838,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,1073741843,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741836,1073741835,1073741842,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,-1,-1,-1,-1,1073741842,-1,1073741843,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741833,705,498,498,-1,-1,1073741843,-1,-1,1073741829,-1,708,498,1073741832,498,1073741842,721,721,-1,-1,-1,-1,-1,498,498,1073741833,1073741843,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741842,1073741833,-1,725,-1,-1,-1,718,-1,1073741832,1073741842,558,-1,-1,1073741842,-1,-1,1073741842,1073741838,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,1073741842,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741836,1073741835,1073741842,-1,713,-1,1073741840,498,-1,1073741842,-1,1073741836,-1,-1,-1,-1,-1,1073741842,-1,1073741836,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741833,705,498,498,-1,-1,1073741836,-1,-1,1073741829,-1,708,498,1073741832,498,1073741842,721,721,-1,-1,-1,-1,-1,498,498,1073741833,1073741842,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,1073741842,498,498,-1,-1
1073741841,1073741833,-1,725,-1,-1,-1,718,-1,1073741832,1073741840,558,-1,-1,1073741840,-1,-1,718,1073741838,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,1073741839,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741836,1073741835,1073741840,-1,713,-1,1073741840,498,-1,713,-1,1073741836,-1,-1,-1,-1,-1,1073741840,-1,1073741836,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741833,705,498,498,-1,-1,1073741836,-1,-1,1073741829,-1,708,498,1073741832,498,1073741840,721,721,-1,-1,-1,-1,-1,498,498,1073741833,1073741840,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
1073741840,1073741833,-1,725,-1,-1,-1,718,-1,1073741832,1073741840,558,-1,-1,1073741840,-1,-1,718,1073741838,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,1073741839,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741836,1073741835,1073741840,-1,713,-1,1073741840,498,-1,713,-1,1073741836,-1,-1,-1,-1,-1,1073741840,-1,1073741836,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741833,705,498,498,-1,-1,1073741836,-1,-1,1073741829,-1,708,498,1073741832,498,1073741840,721,721,-1,-1,-1,-1,-1,498,498,1073741833,1073741840,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
1073741839,1073741833,-1,725,-1,-1,-1,718,-1,1073741832,1073741839,558,-1,-1,1073741839,-1,-1,718,1073741838,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,1073741839,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741836,1073741835,1073741838,-1,713,-1,-1,498,-1,713,-1,1073741836,-1,-1,-1,-1,-1,1073741839,-1,1073741836,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741833,705,498,498,-1,-1,1073741836,-1,-1,1073741829,-1,708,498,1073741832,498,1073741839,721,721,-1,-1,-1,-1,-1,498,498,1073741833,1073741836,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
1073741838,1073741833,-1,725,-1,-1,-1,718,-1,1073741832,1073741837,558,-1,-1,1073741837,-1,-1,718,1073741838,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741836,1073741835,1073741838,-1,713,-1,-1,498,-1,713,-1,1073741836,-1,-1,-1,-1,-1,1073741837,-1,1073741836,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741833,705,498,498,-1,-1,1073741836,-1,-1,1073741829,-1,708,498,1073741832,498,1073741832,721,721,-1,-1,-1,-1,-1,498,498,1073741833,1073741836,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
1073741837,1073741833,-1,725,-1,-1,-1,718,-1,1073741832,1073741837,558,-1,-1,1073741837,-1,-1,718,701,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741836,1073741835,1073741835,-1,713,-1,-1,498,-1,713,-1,1073741836,-1,-1,-1,-1,-1,1073741837,-1,1073741836,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741833,705,498,498,-1,-1,1073741836,-1,-1,1073741829,-1,708,498,1073741832,498,1073741832,721,721,-1,-1,-1,-1,-1,498,498,1073741833,1073741836,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
1073741836,1073741833,-1,725,-1,-1,-1,718,-1,1073741832,1073741836,558,-1,-1,1073741836,-1,-1,718,701,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741836,1073741835,1073741835,-1,713,-1,-1,498,-1,713,-1,1073741836,-1,-1,-1,-1,-1,1073741836,-1,1073741836,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741833,705,498,498,-1,-1,1073741836,-1,-1,1073741829,-1,708,498,1073741832,498,1073741832,721,721,-1,-1,-1,-1,-1,498,498,1073741833,1073741836,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
1073741835,1073741833,-1,725,-1,-1,-1,718,-1,1073741832,1073741835,558,-1,-1,1073741835,-1,-1,718,701,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741835,1073741835,1073741835,-1,713,-1,-1,498,-1,713,-1,1073741833,-1,-1,-1,-1,-1,1073741835,-1,1073741831,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741833,705,498,498,-1,-1,1073741835,-1,-1,1073741829,-1,708,498,1073741832,498,1073741832,721,721,-1,-1,-1,-1,-1,498,498,1073741833,1073741835,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
1073741833,1073741833,-1,725,-1,-1,-1,718,-1,1073741832,1073741832,558,-1,-1,1073741832,-1,-1,718,701,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741833,1073741833,1073741832,-1,713,-1,-1,498,-1,713,-1,1073741833,-1,-1,-1,-1,-1,1073741833,-1,1073741831,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,1073741833,705,498,498,-1,-1,1073741832,-1,-1,1073741829,-1,708,498,1073741832,498,1073741832,721,721,-1,-1,-1,-1,-1,498,498,1073741833,1073741833,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
1073741832,702,-1,725,-1,-1,-1,718,-1,1073741832,1073741832,558,-1,-1,1073741832,-1,-1,718,701,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741830,738,1073741832,-1,713,-1,-1,498,-1,713,-1,1073741832,-1,-1,-1,-1,-1,1073741832,-1,1073741831,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,742,705,498,498,-1,-1,1073741832,-1,-1,1073741829,-1,708,498,1073741832,498,1073741832,721,721,-1,-1,-1,-1,-1,498,498,742,1073741832,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
1073741831,702,-1,725,-1,-1,-1,718,-1,550,1073741831,558,-1,-1,1073741831,-1,-1,718,701,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741830,738,1073741829,-1,713,-1,-1,498,-1,713,-1,-1,-1,-1,-1,-1,-1,1073741831,-1,1073741831,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,742,705,498,498,-1,-1,1073741831,-1,-1,1073741829,-1,708,498,-1,498,740,721,721,-1,-1,-1,-1,-1,498,498,742,1073741831,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
1073741830,702,-1,725,-1,-1,-1,718,-1,550,1073741830,558,-1,-1,1073741830,-1,-1,718,701,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,1073741830,738,1073741829,-1,713,-1,-1,498,-1,713,-1,-1,-1,-1,-1,-1,-1,1073741830,-1,705,1073741830,1073741830,1073741830,1073741830,719,1073741830,-1,-1,-1,742,705,498,498,-1,-1,1073741830,-1,-1,1073741829,-1,708,498,-1,498,740,721,721,-1,-1,-1,-1,-1,498,498,742,1073741830,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
1073741829,702,-1,725,-1,-1,-1,718,-1,550,1073741829,558,-1,-1,1073741829,-1,-1,718,701,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,740,738,1073741829,-1,713,-1,-1,498,-1,713,-1,-1,-1,-1,-1,-1,-1,1073741829,-1,705,719,1073741829,-1,-1,719,-1,-1,-1,-1,742,705,498,498,-1,-1,1073741829,-1,-1,1073741829,-1,708,498,-1,498,740,721,721,-1,-1,-1,-1,-1,498,498,742,1073741829,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
754,702,-1,725,-1,-1,-1,718,-1,550,713,558,-1,-1,744,-1,-1,718,701,-1,-1,718,-1,498,-1,-1,-1,-1,715,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,706,-1,-1,748,-1,740,738,741,-1,713,-1,-1,498,-1,713,-1,-1,-1,-1,-1,-1,-1,746,-1,705,719,719,-1,-1,719,-1,-1,-1,-1,742,705,498,498,-1,-1,711,-1,-1,708,-1,708,498,-1,498,740,721,721,-1,-1,-1,-1,-1,498,498,742,738,498,718,740,-1,-1,712,725,-1,-1,498,-1,558,-1,-1,713,498,498,-1,-1
